time,H2O_ppm,d18O,dD,d_excess,met_temp,met_pressure,met_rh,met_vapor_pressure,met_wspd,met_wdir,rad_sw_down,rad_sw_up,rad_lw_down,rad_lw_up,rad_net,isen_225_ipv,isen_225_gph,isen_500_ipv,isen_500_gph,isen_825_ipv,isen_825_gph,flux_2m_h2o,flux_2m_h2o_density,flux_2m_co2_density,flux_3m_h2o,flux_3m_h2o_density,flux_3m_co2_density,flux_5m_h2o,flux_5m_h2o_density,flux_5m_co2_density,flux_10m_h2o,flux_10m_h2o_density,flux_10m_co2_density,flux_15m_h2o,flux_15m_h2o_density,flux_20m_h2o,flux_20m_h2o_density,flux_20m_co2_density
2022-11-21 00:00:00,,,,,0.3927840405357031,0.880009764393468,-2.0919134571421196,-0.7510568592014255,0.6639965234322417,-2.641694334138149,-0.6991039646736892,-0.6760084609607834,-1.06151365687631,-0.4792783632817383,-1.164351961581719,-0.8744022680768511,0.2717260942160244,0.3099728717020475,0.6760267269666929,1.9092654008546783,0.8164637347815328,,,,0.13805066384059572,-1.252880749551826,-4.37059000457426,0.17341090342079224,-1.0098080439723924,-4.996484769181179,0.027157104799685274,-0.8691006101144727,-5.48347991398113,,,,,
2022-11-21 06:00:00,,,,,-0.7976769971378852,0.9684712011413038,-0.6504712165193319,-0.8082106107336582,-0.5400518615862725,-1.4066455502237036,-0.7016564212300083,-0.6974687240035624,-1.377863686763026,-1.4761420286895208,-0.6685723339170357,-0.8413674718723216,0.39419272506207087,0.05771947927931817,0.7907177938782948,8.346368101120055,1.0423640819116775,-0.3175275262109694,-0.13668322825584925,-0.14963911166932753,-0.4602301430903612,-0.41026273342358904,0.8897919901908001,-0.53931777670916,-0.23966260277354157,0.7183876551316872,-0.6238868919144287,-0.4264111155795462,0.6880208217948649,-0.43890338548521945,0.5594174599737786,-0.4210757167883893,0.17312088901720335,0.5902687788635613
2022-11-21 12:00:00,,,,,-1.1516714417972784,0.9754475799048793,-0.3386155058424246,-0.9113192424806721,-0.6557205630702951,-1.7705707926196697,-0.6170725868764321,-0.6168088509768852,-1.4657436081782307,-1.737304322276955,-0.5135381362953227,-0.8666142197150652,0.4520167794397048,0.1238736353487939,0.8296011598237016,11.973054143371282,1.150202142342745,-0.3112416023216853,-0.2132920732404858,0.08403333365006183,-0.4641495699260661,-0.5364598594726405,0.8882348439841264,-0.45940192425460114,-0.3614059963174913,0.8086953847194116,-0.5424581883629758,-0.5478811605121223,0.7418409910809937,-0.28308674791420846,0.6971948944161317,-0.1344756732310159,0.03968307443533557,0.7256230436173894
2022-11-21 18:00:00,-0.8409835574915034,-0.12219106410223488,-0.8432591005112441,-1.4008697918923712,0.5679132508820128,1.0289279310778188,-2.2140011511438384,-0.7674811779498563,-0.7643968323119944,0.1997598557515789,5.984439376782445,6.546394237816842,-1.0860572893900526,0.30210822296962875,-0.11237388568442537,-0.8832981033760046,0.5667576382088138,-1.0142785056733619,0.9431782825790579,0.5610297173703854,1.1044415741862066,7.343785488743933,-0.28898623002096385,-0.24979339479507517,5.343855029228167,-0.5960370071049736,0.10142604507782324,7.512483429916878,-0.3957206414386346,0.3239022211837585,6.902438129494653,-0.4512634302328607,0.21080841383668195,11.344955156870258,0.5880149075127723,11.39357821016179,0.04831077436077457,0.6179966864286708
2022-11-22 00:00:00,-0.42082929665033064,0.34376564353862776,-0.21918337219105533,-1.1854367792197908,0.451485597735393,0.865109526952485,-1.5481306377768127,-0.4089343583185866,-0.7742620794308818,0.36419864461086693,0.43285332899091294,0.6778845891970383,-0.8891515462609428,-0.2765903460530221,-1.0097279542584092,-0.4873014245710463,0.5623160534348086,-1.532887210653286,0.9282716545953318,1.2726470961859697,0.8172669584572035,1.0371356672612992,0.06667502590468596,-0.22623450451516197,0.26255840349124904,-0.1952861088594481,0.20966240165263617,0.1813335374976284,-0.041271813104240725,0.30516212292940653,0.12415560549980324,-0.15409230432504187,0.3433715602318946,0.8134681610595429,0.6980747865023093,0.6640309111643558,0.3868455256732751,0.5588448275352659
2022-11-22 06:00:00,-0.792890036302947,0.5872504170072028,-0.2896052846047919,-1.939497414365859,-0.6273521865740994,0.9938513701185192,-0.6767828265946596,-0.7047624325830064,-0.230413764465182,-0.15407416135596358,-0.7025325622944834,-0.7001378854405158,-1.2906573059906272,-1.3705532493475439,-0.639274200311019,0.13964887732822004,0.5218630423864491,0.10872085423014757,0.9183654901172839,8.430121999287811,0.998484563497291,-0.08304031528480386,0.013586336979410363,0.003707350621809411,-0.3435479063398624,-0.28555462448147345,0.7170743066731459,-0.39023597220475054,-0.12885800050162494,0.6699840848929143,-0.4026131751871041,-0.3119191526824026,0.6128767195257998,-0.23759489633453237,0.6750270673492318,-0.47635469306541667,0.27857470219801855,0.6827662761378814
2022-11-22 12:00:00,-1.0555492971632738,0.4865623357610203,-0.4256479974142142,-1.9886440364645748,-1.0380165594078996,0.9399346520872895,-0.6741621542513143,-0.9438170169055269,-0.6672607549816859,-1.7863460037537782,-0.6230593635980397,-0.6227911080703739,-1.511177370987662,-1.7150422488537098,-0.600760687615445,-0.019561780888899122,0.4302018044461727,0.783168894720384,0.7923530005645878,11.483566278543249,1.078629715164922,-0.26697405087079523,-0.29792313191864345,0.06624209529747441,-0.4800726075888523,-0.6233488093614837,0.8439602387222769,-0.5054011170042133,-0.4589590293542331,0.7549557642515214,-0.5239736516536917,-0.660407516412429,0.6584591645303813,-0.21600083567122305,0.6652956304962716,-0.27112231510029833,-0.15835203229976977,0.7517312598015914
2022-11-22 18:00:00,-0.9703474374973167,-0.21674100138183697,-0.5771449930328709,-0.5862168032993441,0.5859011241856295,0.8751327045782124,-2.3870308280547397,-0.8704521920018038,-0.7784805264032583,-0.003536369196410975,5.810617897489342,6.312837314982874,-1.1228239065756689,0.2640135081524049,-0.10337770819790443,-0.23826807580199572,0.44209851625888913,0.6902731150754831,0.7783995868506403,0.5790832727680976,0.9589644433903048,8.25749345924419,-0.42374587362899435,-0.2625149113595996,5.72512722539944,-0.7336950048189816,0.07683069851611776,8.602392821184713,-0.5339634377102758,0.29614139753517216,7.062770279725349,-0.6085766816890259,0.19082848214573897,11.83858143953558,0.5750521532829949,11.89679567738338,-0.17265098047863028,0.6070525021907679
2022-11-23 00:00:00,-0.6328546336872891,-0.20151413385793635,-0.11798807658061115,0.37975645965895294,0.550083893482169,0.5831282920101238,-2.0716198991303636,-0.6905468849170664,-0.8429993315792248,0.29453564400190524,0.2554813650278435,0.420788070593335,-0.823019786068048,-0.3210443668918257,-0.8180983907916192,0.11576961270124919,0.37619023378773864,-0.7643484096967731,0.6720155997916145,1.1739704137176075,0.5314962755329066,1.5289238739373439,-0.17001758695663183,-0.26731340721080943,0.7608980772117271,-0.45466649428804307,0.12290460290369622,0.8977714749913539,-0.3128348694571401,0.24118694702647867,0.6980215652889122,-0.4433640219361158,0.2976534569347357,1.75204167268653,0.6692982180743433,1.9488288769579714,-0.0009178027863930502,0.547884646455742
2022-11-23 06:00:00,-0.8992624144240368,-0.25813891485984364,-0.24252842052010135,0.24713975032589144,-0.6737923594278885,0.4860420876583786,-0.9579122443140305,-0.8362715744719181,-0.14882641615095232,0.11347454062767806,-0.7030579029290602,-0.6999304213192767,-1.3203223971224796,-1.4059483675834714,-0.6502747242761688,-0.055235667439846745,0.26767349467583684,-0.7617185235325219,0.5652536766491569,8.860188866376651,0.4445542035137732,-0.053424230172371,-0.15126819279353376,-0.03095020881757717,-0.3343419388320376,-0.4633919191718223,0.6487740882485619,-0.47500913916005344,-0.31069788178379726,0.6073647908776224,-0.6329485324070773,-0.5125299290210583,0.5696504653039642,-0.13024093763300001,0.6448264277037654,0.12546292366067982,-0.001875974843821139,0.6671514844614317
