window_idx,timestamp,te_bits,surr_mean,surr_std,surr_p95,surr_p99,p_value,sig95,sig99,n_valid_surrogates,h_target_bits,pct_h,surr_p95_pct
0,2022-12-06 00:00:00,0.08255253579820536,0.04550479180316782,0.04993049221386116,0.14276217010537037,0.18802685240999056,0.2305,False,False,2000,1.7396119173612135,4.74545701684016,8.20655277654822
1,2022-12-06 06:00:00,0.06949398141179089,0.04414037917554086,0.04898744499296849,0.13992853970165484,0.19246866004182195,0.276,False,False,2000,1.746250978174527,3.979610163737036,8.013082967485664
2,2022-12-06 12:00:00,0.06231166179761565,0.0454842508392034,0.05110155329994152,0.1464199590153705,0.19806000685908887,0.3095,False,False,2000,1.7596936146694173,3.541051764816556,8.320764353223927
3,2022-12-06 18:00:00,0.07699265794145262,0.04310333933237922,0.04916388451285426,0.14153815819077173,0.18201869893487488,0.2345,False,False,2000,1.7681285421451556,4.3544717539620965,8.004969933863105
4,2022-12-07 00:00:00,0.07154307445295167,0.0422044104728844,0.047772331705073966,0.13462727298164726,0.19565213912926727,0.2465,False,False,2000,1.7773587491351226,4.02524670316362,7.574569458594557
5,2022-12-07 06:00:00,0.06076739442903683,0.043114011523943965,0.04935814715432444,0.13815092997001452,0.19806103648041326,0.309,False,False,2000,1.7631765231805405,3.4464725244537835,7.835343095472271
6,2022-12-07 12:00:00,0.049451417505129026,0.04020664102384154,0.048295855675537125,0.13674165642774064,0.1882704944188635,0.336,False,False,2000,1.7599708085786177,2.8097862341857156,7.76954116291142
7,2022-12-07 18:00:00,0.025985516391249498,0.04119216028921494,0.048025131401747016,0.13649965401597683,0.1869534254792784,0.4885,False,False,2000,1.7655119784718374,1.4718402768210959,7.731448762762059
8,2022-12-08 00:00:00,0.03215633661292819,0.0385845036549139,0.047072518861125644,0.1309979961267446,0.19434984059936952,0.4265,False,False,2000,1.7481366947473,1.8394635104651533,7.493578535383405
9,2022-12-08 06:00:00,0.03558290783742253,0.038874912938403866,0.046671629628683965,0.13262908599269363,0.1890187581548129,0.4115,False,False,2000,1.7587618636467257,2.0231794066561535,7.541048548647302
10,2022-12-08 12:00:00,0.030321776442313285,0.03397259425880016,0.04304178417057434,0.11968211143898747,0.17015148967217233,0.4065,False,False,2000,1.7898373148924915,1.6941079610989445,6.686759206725797
11,2022-12-08 18:00:00,0.02424402690078272,0.03857690404864924,0.045971036508377215,0.13129966233159107,0.18132766749788834,0.476,False,False,2000,1.7903276351672912,1.3541670487881017,7.3338343078931585
12,2022-12-09 00:00:00,0.0,0.038140720621849276,0.04585866061737343,0.1314735668878627,0.18191887400578044,1.0,False,False,2000,1.7780973427895166,0.0,7.394059016004387
13,2022-12-09 06:00:00,0.0,0.03545587746123797,0.04531001516156101,0.12713864052555984,0.17971519857351967,1.0,False,False,2000,1.760249300022447,0.0,7.222763305398761
14,2022-12-09 12:00:00,0.0,0.03483606239194901,0.04413381044116957,0.12158068959491347,0.18496557040770245,1.0,False,False,2000,1.7494082199894188,0.0,6.949818127392179
15,2022-12-09 18:00:00,0.0,0.035245996242278116,0.04456750171293697,0.12707498590737917,0.17460290113814766,1.0,False,False,2000,1.7272572956586825,0.0,7.357038596784138
16,2022-12-10 00:00:00,0.0,0.03502466674178794,0.0441635338854231,0.12612350718456136,0.1730331848239425,1.0,False,False,2000,1.7088050571969864,0.0,7.380801376574003
17,2022-12-10 06:00:00,0.0,0.03468610947731976,0.043673205456141624,0.12447751570025581,0.17264101049441977,1.0,False,False,2000,1.7172121669501235,0.0,7.248813984432435
18,2022-12-10 12:00:00,0.0,0.0374977054285238,0.045244727661421916,0.12978800280207062,0.18134267223989564,1.0,False,False,2000,1.7212894543820176,0.0,7.540161387247184
19,2022-12-10 18:00:00,0.013969185520763906,0.03792552730972632,0.04584730609791996,0.131021957436381,0.1775067229026271,0.5575,False,False,2000,1.7287298794759371,0.8080606280142884,7.57908791835658
20,2022-12-11 00:00:00,0.020495440171451225,0.03712432499472398,0.04535505726451563,0.12816852884147803,0.16871548483505103,0.49,False,False,2000,1.7455190737448416,1.1741745180406564,7.342717176186732
21,2022-12-11 06:00:00,0.009844567471151906,0.03746880663684944,0.046163493683532585,0.13083778470258303,0.18235939891224162,0.5685,False,False,2000,1.760409925601155,0.5592201752549268,7.432233981406563
22,2022-12-11 12:00:00,0.0006590429359216991,0.036319130575885206,0.04507755734312888,0.12813094999050142,0.16965950399282745,0.6075,False,False,2000,1.7637074604019618,0.03736690753530625,7.264864092670983
23,2022-12-11 18:00:00,0.010920683694503927,0.034229020506162534,0.043393001760835936,0.12328935059171252,0.17177636991102738,0.5275,False,False,2000,1.7601222426643077,0.6204502977005292,7.004590226931549
24,2022-12-12 00:00:00,0.0075594398367493905,0.034585566156557584,0.044707125425233855,0.12232101466338545,0.18766589075334617,0.549,False,False,2000,1.7912484591741706,0.42202073073852425,6.828813391961258
25,2022-12-12 06:00:00,0.0,0.035632446730137754,0.04476255241287546,0.12508716994166483,0.17582853347130317,1.0,False,False,2000,1.7956169464167144,0.0,6.966250245704435
26,2022-12-12 12:00:00,0.0022952010998923047,0.03441792870587649,0.04416747231166426,0.12248307339031747,0.1787418318684316,0.577,False,False,2000,1.777260157958451,0.12914266319506174,6.891679467513326
27,2022-12-12 18:00:00,0.004565609259605415,0.0345644100331312,0.043368102943801556,0.12372790301442566,0.16997751799268476,0.579,False,False,2000,1.793583723593781,0.25455233561427293,6.8983622780939164
28,2022-12-13 00:00:00,0.0,0.036207118801460395,0.045618780614791604,0.12821747615780452,0.17626153027312735,1.0,False,False,2000,1.7785914483622143,0.0,7.208933579202317
29,2022-12-13 06:00:00,0.02114432094076513,0.034226712704818446,0.04365424619860522,0.12248383142149498,0.17094912357913494,0.467,False,False,2000,1.7838700375411334,1.18530613193718,6.866185811962251
30,2022-12-13 12:00:00,0.028241388726942533,0.03634498954161711,0.04517138078515364,0.1268910378605231,0.18103155078730607,0.431,False,False,2000,1.7684639792289993,1.5969445269252802,7.175211898624253
31,2022-12-13 18:00:00,0.045247138505899044,0.03626467708881097,0.04574417158538635,0.1344962261183975,0.1762432816251823,0.3355,False,False,2000,1.7829214828862536,2.5378088121217455,7.543586602628763
32,2022-12-14 00:00:00,0.05067102861446439,0.03496061093677545,0.04558778542537233,0.1260955132787285,0.18068901933544776,0.287,False,False,2000,1.808831208281409,2.801313266958032,6.971104473508795
33,2022-12-14 06:00:00,0.051869044698017695,0.03411241940072382,0.04401825421545881,0.12496021572285339,0.1719807277480389,0.279,False,False,2000,1.8230548842822383,2.845171867573216,6.854440686356622
34,2022-12-14 12:00:00,0.0565644958362986,0.03385687613970967,0.04280376890515421,0.12322942763825841,0.16584019324955254,0.263,False,False,2000,1.84339739023518,3.068491695601355,6.684908435426223
35,2022-12-14 18:00:00,0.03972304401188482,0.0328072728557731,0.043076551097890596,0.11961002119860625,0.17246695394921646,0.335,False,False,2000,1.8407551186573905,2.1579754748072086,6.497877962487883
36,2022-12-15 00:00:00,0.04252689426489009,0.035371274330732616,0.0446945287183334,0.12558447539643225,0.17879070807804218,0.3365,False,False,2000,1.831702624826652,2.321713890043409,6.856160694114704
37,2022-12-15 06:00:00,0.04171181404769332,0.03636466545602917,0.046805008561709764,0.13255915042556643,0.18797016022418409,0.3465,False,False,2000,1.799341191799942,2.318171463966074,7.367093635696909
38,2022-12-15 12:00:00,0.0531999224283958,0.03480632223233679,0.04355956817271407,0.1233655621734656,0.16455791422239394,0.277,False,False,2000,1.7628489749732754,3.017837783250962,6.998078900964037
39,2022-12-15 18:00:00,0.04229847095286363,0.03474032840107493,0.04417461137328904,0.12320781083190001,0.18730745071116575,0.3345,False,False,2000,1.7800371958593895,2.3762689370343315,6.921642486937817
40,2022-12-16 00:00:00,0.034929160906581276,0.03786530566910841,0.04799768472454962,0.13572166112809467,0.19751846113933377,0.3975,False,False,2000,1.7981249740713192,1.9425324385264824,7.547954846586294
41,2022-12-16 06:00:00,0.03582344939409969,0.035906689947779694,0.04480018655112627,0.12606691260916075,0.17294467041139402,0.3935,False,False,2000,1.8146430805887326,1.974131980955579,6.9472015713558575
42,2022-12-16 12:00:00,0.02987486360867124,0.03612826868416501,0.04548557035688006,0.13071948027640037,0.17418704924579145,0.423,False,False,2000,1.8089238336549445,1.6515268942147139,7.226367293324929
43,2022-12-16 18:00:00,0.0006618909635058064,0.0351567340701838,0.0449260379730688,0.12630564590778365,0.17379544528008492,0.5895,False,False,2000,1.7808010044932356,0.03716815982446963,7.092631101908356
44,2022-12-17 00:00:00,0.0,0.034941690061996766,0.044141671089829214,0.125496026951171,0.1741880424785949,1.0,False,False,2000,1.7750193372114325,0.0,7.070121678129215
45,2022-12-17 06:00:00,0.0,0.035288160422769374,0.044357196873334184,0.12662252273413963,0.1731127210096459,1.0,False,False,2000,1.7541115535064489,0.0,7.218612891581648
46,2022-12-17 12:00:00,0.0,0.03566985187419807,0.04602247962217516,0.13065106364147105,0.18720204007581367,1.0,False,False,2000,1.7751834727764713,0.0,7.3598625519607035
47,2022-12-17 18:00:00,0.012434385627804512,0.03632131141236811,0.045900178015913506,0.13125770065513184,0.1757783333987161,0.5305,False,False,2000,1.756182813897529,0.7080348087571049,7.474034002407142
48,2022-12-18 00:00:00,0.021082618458907854,0.03373213087227231,0.04295052287693485,0.12388670110898486,0.17225626967817437,0.46,False,False,2000,1.828825839718455,1.1527953072969208,6.774111477343138
49,2022-12-18 06:00:00,0.05062411729504904,0.03571287502672041,0.043973334200172784,0.12488316096029523,0.1739356830283418,0.309,False,False,2000,1.8027447759889526,2.8081688528137647,6.9273899790826805
50,2022-12-18 12:00:00,0.05017015618635279,0.03465523247717728,0.04489567594833321,0.1302634228627189,0.18031007208173525,0.288,False,False,2000,1.7782364894134193,2.821343307542983,7.325427390464158
51,2022-12-18 18:00:00,0.037549377427893584,0.03371716032244258,0.04366808553564549,0.12520764074809645,0.16611611449761932,0.3485,False,False,2000,1.7534420242503583,2.1414667213731753,7.140677536893525
52,2022-12-19 00:00:00,0.03374384848289923,0.0338650249072176,0.04302253438621399,0.12336155928418745,0.16064096878048034,0.387,False,False,2000,1.7533494905068268,1.9245363611532555,7.035765542015716
53,2022-12-19 06:00:00,0.01714575314556618,0.030138799428625483,0.04085036915119918,0.11345409360065693,0.16196634331618703,0.4455,False,False,2000,1.8035771328117254,0.9506526132783931,6.290504106346992
