window_idx,timestamp,te_bits,surr_mean,surr_std,surr_p95,surr_p99,p_value,sig95,sig99,n_valid_surrogates,h_target_bits,pct_h,surr_p95_pct
0,2022-12-06 00:00:00,0.0,0.03701738102530279,0.045671202072554255,0.13033219906408072,0.17713567874913566,1.0,False,False,2000,1.8028594380338667,0.0,7.229193597378634
1,2022-12-06 06:00:00,0.0,0.033172493115971105,0.04412495405922011,0.12708308422163075,0.17260270847921874,1.0,False,False,2000,1.8135288318866265,0.0,7.0075028302376285
2,2022-12-06 12:00:00,0.0,0.032140733731700545,0.042067336955110925,0.11846880265829973,0.16352552262464123,1.0,False,False,2000,1.8245915252229805,0.0,6.492894492854878
3,2022-12-06 18:00:00,0.0,0.03382910566588003,0.04319026628130488,0.12132574875418171,0.17442180656518771,1.0,False,False,2000,1.8198242178408295,0.0,6.666893844183002
4,2022-12-07 00:00:00,0.0,0.03630211500638608,0.04407682930904578,0.1263054642424929,0.1727554789799568,1.0,False,False,2000,1.8044761679936432,0.0,6.999563999946262
5,2022-12-07 06:00:00,0.0,0.03330552443940389,0.044184412830029725,0.12473473940490139,0.1765259583177363,1.0,False,False,2000,1.8060365433751073,0.0,6.906545709855797
6,2022-12-07 12:00:00,0.0,0.03252798197969088,0.04355547776316846,0.12368676477032432,0.17508239901428332,1.0,False,False,2000,1.783119567770433,0.0,6.936537908390466
7,2022-12-07 18:00:00,0.0,0.03490258511486472,0.0447523252472082,0.12348705923600381,0.17444645921897622,1.0,False,False,2000,1.7885595620541561,0.0,6.904274358868946
8,2022-12-08 00:00:00,0.0,0.038233610081866556,0.04613443078203319,0.13135874550545204,0.1817681873381717,1.0,False,False,2000,1.7996672975586594,0.0,7.299057202608887
9,2022-12-08 06:00:00,0.0,0.03880103477271347,0.04613870844090908,0.13097276157948015,0.1775357065296537,1.0,False,False,2000,1.7995878269872525,0.0,7.277931069290785
10,2022-12-08 12:00:00,0.0,0.03719848383972661,0.045864901658452216,0.12917433750645985,0.18368817862755865,1.0,False,False,2000,1.827430744659036,0.0,7.068631075842019
11,2022-12-08 18:00:00,0.0,0.03921153907206295,0.04556934354491289,0.1302984698821384,0.17181236195698843,1.0,False,False,2000,1.8353271469747738,0.0,7.099468348022496
12,2022-12-09 00:00:00,0.0,0.039466825274889955,0.045894862922181465,0.1308800336514319,0.1781230861274809,1.0,False,False,2000,1.7915404132011818,0.0,7.3054469040735315
13,2022-12-09 06:00:00,0.0,0.040795285607737514,0.0465545465667891,0.13248124483146298,0.19037480498983128,1.0,False,False,2000,1.8190543966645847,0.0,7.282973234576183
14,2022-12-09 12:00:00,0.0,0.04039875404935364,0.04619762043187621,0.13516056096287857,0.17923104283082414,1.0,False,False,2000,1.8078303567895027,0.0,7.476396247870738
15,2022-12-09 18:00:00,0.0,0.046509584424986226,0.04973086323710851,0.14510386174195025,0.19703807431921225,1.0,False,False,2000,1.8102428342719927,0.0,8.015712532860556
16,2022-12-10 00:00:00,0.0,0.04465884792607025,0.0487303107551899,0.14080627003061155,0.1790115836554713,1.0,False,False,2000,1.8304812635074525,0.0,7.6923087298259185
17,2022-12-10 06:00:00,0.0,0.044703292948051504,0.0490113392797536,0.1383949169718157,0.18669227316690776,1.0,False,False,2000,1.834403235936084,0.0,7.54441086128992
18,2022-12-10 12:00:00,0.0,0.04292682772879644,0.04713866844479592,0.13567884683717893,0.18121200033486287,1.0,False,False,2000,1.8216934217870757,0.0,7.447951736251998
19,2022-12-10 18:00:00,0.0,0.04408388295386879,0.049325342325327766,0.14296403781317604,0.18906331242267108,1.0,False,False,2000,1.8317471304749138,0.0,7.804791143639461
20,2022-12-11 00:00:00,0.0,0.04238193158965282,0.04733199757291274,0.13661557145731953,0.18651195898760065,1.0,False,False,2000,1.8372020984633024,0.0,7.436066591236173
21,2022-12-11 06:00:00,0.0,0.04424280898285699,0.04834568424163736,0.13669855912445522,0.19304049596631312,1.0,False,False,2000,1.8784685545244817,0.0,7.277127892037527
22,2022-12-11 12:00:00,0.0,0.04484714742320696,0.04866100369131377,0.1382236698310969,0.18394490402970656,1.0,False,False,2000,1.8655884616151406,0.0,7.40911903536481
23,2022-12-11 18:00:00,0.0,0.04329994976822854,0.0486004674722523,0.1390395709826679,0.18925368081010316,1.0,False,False,2000,1.888728500890324,0.0,7.3615435419715585
24,2022-12-12 00:00:00,0.0,0.044307594406542736,0.0499485303500919,0.14734943436873577,0.18683022570388785,1.0,False,False,2000,1.9034414082813274,0.0,7.741211982026905
25,2022-12-12 06:00:00,0.0,0.04404376037812396,0.048563004430742664,0.14341986857045252,0.18547741719116878,1.0,False,False,2000,1.9248749087847061,0.0,7.450866958466536
26,2022-12-12 12:00:00,0.0,0.04235764014790476,0.047929248223614045,0.13689685607161328,0.1868369362965,1.0,False,False,2000,1.9499759699503079,0.0,7.020438106993796
27,2022-12-12 18:00:00,0.0,0.044943977586779656,0.04898333722540553,0.13567742105538477,0.19765578770901918,1.0,False,False,2000,1.9489510766535465,0.0,6.961561153620653
28,2022-12-13 00:00:00,0.0,0.04548201581363097,0.04945376691677152,0.13982575844954567,0.18928833494565622,1.0,False,False,2000,1.971519670764444,0.0,7.092283202801072
29,2022-12-13 06:00:00,0.0,0.04452655734420405,0.0498821599943357,0.14482612967106406,0.1927174260732922,1.0,False,False,2000,2.000936267094401,0.0,7.237918171245352
30,2022-12-13 12:00:00,0.0,0.04187861705645483,0.04818986908138057,0.13574573434582138,0.18966240148456734,1.0,False,False,2000,1.9998312945700645,0.0,6.787859291651138
31,2022-12-13 18:00:00,0.0,0.04817248815462867,0.050038769130301454,0.14465216281732843,0.19283275896487065,1.0,False,False,2000,2.0224410515723803,0.0,7.152354957632323
32,2022-12-14 00:00:00,0.0,0.04370421119493993,0.04796856791199078,0.13972199507815197,0.18074986478060742,1.0,False,False,2000,2.0144521486614515,0.0,6.935979847969753
33,2022-12-14 06:00:00,0.0,0.04456790929943804,0.048819969087474796,0.137248339425817,0.18425686483048373,1.0,False,False,2000,1.994179005465644,0.0,6.882448318312792
34,2022-12-14 12:00:00,0.0,0.040386559395195774,0.04724934780879844,0.1331248888055129,0.18247860758993076,1.0,False,False,2000,2.0005434922261047,0.0,6.654436123124631
35,2022-12-14 18:00:00,0.0,0.04448019712312481,0.0496510882141372,0.14285001232992925,0.183673080680681,1.0,False,False,2000,2.001571312054033,0.0,7.136893473125126
36,2022-12-15 00:00:00,0.0,0.044750570989868226,0.04974103303050383,0.14331357872573552,0.19319549554038215,1.0,False,False,2000,2.0254000538700727,0.0,7.075815883972962
37,2022-12-15 06:00:00,0.0,0.043411947826007526,0.04852469327752166,0.13726442590036012,0.18716344087828932,1.0,False,False,2000,2.0369606139205088,0.0,6.738688267328313
38,2022-12-15 12:00:00,0.0,0.04878497052889017,0.05065247793169468,0.14830931760580476,0.19873439381337948,1.0,False,False,2000,2.011400413226394,0.0,7.373435772935369
39,2022-12-15 18:00:00,0.0,0.04477111233558333,0.04972291945850107,0.14440684138458082,0.19500666063792707,1.0,False,False,2000,2.0072116723474687,0.0,7.194400240593186
40,2022-12-16 00:00:00,0.0,0.04674806588849661,0.05172990248095181,0.14406689593936314,0.21548668667216217,1.0,False,False,2000,2.0161369162720515,0.0,7.145690095578964
41,2022-12-16 06:00:00,0.0,0.04387630010618343,0.048271722926382536,0.14015123076783623,0.18439304826367628,1.0,False,False,2000,2.0074469886399378,0.0,6.981565718095991
42,2022-12-16 12:00:00,0.0,0.0444373868724283,0.048888825045936904,0.14024411045168161,0.1946371737875153,1.0,False,False,2000,1.9922525965747186,0.0,7.039474346415882
43,2022-12-16 18:00:00,0.0,0.04525506863748861,0.049152578658251074,0.14313207351139445,0.183615001785212,1.0,False,False,2000,1.9697613249773074,0.0,7.2664678555937945
44,2022-12-17 00:00:00,0.0,0.04616288091740935,0.04878955197608596,0.13737698884280222,0.1838933508073187,1.0,False,False,2000,1.9746449173846394,0.0,6.957047701758659
45,2022-12-17 06:00:00,0.0,0.04828378846483395,0.04949634279093412,0.1451095113352886,0.18605461689203387,1.0,False,False,2000,1.92406690333591,0.0,7.541812141963492
46,2022-12-17 12:00:00,0.0,0.04996583785282701,0.051128457510856935,0.14650565219774841,0.196956376985976,1.0,False,False,2000,1.9107459891804406,0.0,7.667458313524332
47,2022-12-17 18:00:00,0.0,0.05148343885586607,0.05266737565758484,0.1524448274432015,0.1970715871593793,1.0,False,False,2000,1.9390300185991796,0.0,7.861911676505802
48,2022-12-18 00:00:00,0.0,0.05571923979223071,0.05384305766222174,0.16166696641998915,0.20679183472911447,1.0,False,False,2000,1.9232795592022665,0.0,8.405796528459181
