window_idx,timestamp,te_bits,surr_mean,surr_std,surr_p95,surr_p99,p_value,sig95,sig99,n_valid_surrogates,h_target_bits,pct_h,surr_p95_pct
0,2022-12-06 00:00:00,0.0,0.030002934414378308,0.04210339756031205,0.11753198762641665,0.17286231362916718,1.0,False,False,2000,1.8028594370846331,0.0,6.519198624629062
1,2022-12-06 06:00:00,0.0,0.033380244594747484,0.04402030272511094,0.1226392042989445,0.1734012738773413,1.0,False,False,2000,1.813528830685532,0.0,6.762462345447558
2,2022-12-06 12:00:00,0.0,0.03192793450406237,0.042106988092845465,0.1185031482014419,0.16942341001104885,1.0,False,False,2000,1.8245915252756937,0.0,6.49477686155186
3,2022-12-06 18:00:00,0.0,0.03115840252966342,0.04205489894005782,0.11749761793863403,0.16087830475588658,1.0,False,False,2000,1.8198242171696162,0.0,6.456536671513185
4,2022-12-07 00:00:00,0.0,0.03152317776406575,0.04261107326390137,0.11717821014636866,0.17609582698064175,1.0,False,False,2000,1.8044761681785764,0.0,6.493752159921702
5,2022-12-07 06:00:00,0.0,0.03262145944611236,0.042527940288829606,0.11838433762146519,0.16329537516617804,1.0,False,False,2000,1.8060365433942356,0.0,6.554924818906244
6,2022-12-07 12:00:00,0.0,0.03217839840071275,0.04227801663561748,0.12025717487247153,0.1657474248287581,1.0,False,False,2000,1.7831195671032407,0.0,6.7442014036016005
7,2022-12-07 18:00:00,0.0,0.032617776259593674,0.04350196826316237,0.12229469718621082,0.1720789751352247,1.0,False,False,2000,1.7885595615769692,0.0,6.8376083085756365
8,2022-12-08 00:00:00,0.0,0.03246287688206339,0.043710337773548574,0.1231547435520316,0.17548998970362456,1.0,False,False,2000,1.799667297449994,0.0,6.843195057582781
9,2022-12-08 06:00:00,0.0,0.03144102111109903,0.0430160660179137,0.12384627779184364,0.1734913839080256,1.0,False,False,2000,1.7995878272718877,0.0,6.881924622683755
10,2022-12-08 12:00:00,0.0,0.03265675502732962,0.04269707688466824,0.11908047262401757,0.17626916043552313,1.0,False,False,2000,1.8274307444488318,0.0,6.516278276796378
