window_idx,timestamp,te_bits,surr_mean,surr_std,surr_p95,surr_p99,p_value,sig95,sig99,n_valid_surrogates,h_target_bits,pct_h,surr_p95_pct
0,2022-12-06 00:00:00,0.08321715404807895,0.03660451397385573,0.04715850761250827,0.13177578585628144,0.19533562466656199,0.1605,False,False,2000,1.8028594381080227,4.615842604757343,7.309265662694762
1,2022-12-06 06:00:00,0.0659280943162059,0.0346414063463546,0.0441527655442539,0.12406003456950823,0.17269975772644988,0.219,False,False,2000,1.813528830628803,3.6353485647838704,6.840808509589176
2,2022-12-06 12:00:00,0.06886935470009845,0.03227067169118946,0.042672685496697275,0.12048113314135951,0.1657130983843982,0.186,False,False,2000,1.8245915255911702,3.77450808765456,6.603183860690323
3,2022-12-06 18:00:00,0.06339305388236552,0.03178822380217341,0.04134623782332809,0.11827465655084722,0.1592397585450757,0.21,False,False,2000,1.8198242172590686,3.4834712760249493,6.499235224432105
4,2022-12-07 00:00:00,0.07109169249029594,0.03338962187486916,0.04284166721536971,0.1206358961059225,0.16738258853184587,0.19,False,False,2000,1.8044761680175947,3.939741280617609,6.685369319033657
5,2022-12-07 06:00:00,0.07063920549295652,0.03309743790271156,0.043097007765939416,0.1239494868418221,0.16667625563867494,0.185,False,False,2000,1.8060365430629628,3.9112832884962208,6.863066382455857
6,2022-12-07 12:00:00,0.0580318540965838,0.03424403339538664,0.04355167681157378,0.1256939578456292,0.16758846504463495,0.2525,False,False,2000,1.783119567321401,3.254512774135452,7.0491042860601
7,2022-12-07 18:00:00,0.07500365152593576,0.03455082534696733,0.045109497199871555,0.12553311548352594,0.1771226569390762,0.18,False,False,2000,1.7885595618083105,4.193522716688498,7.018671234890639
8,2022-12-08 00:00:00,0.0679285257747963,0.038304639962936815,0.04597279669450928,0.1304250832613868,0.17986602233682278,0.239,False,False,2000,1.799667297555108,3.7745046468910597,7.247177488782092
9,2022-12-08 06:00:00,0.060177074417546036,0.034876842896989925,0.04432220164122816,0.1264652124250352,0.1752197722330025,0.2475,False,False,2000,1.799587827173718,3.3439365119542463,7.027454315672433
10,2022-12-08 12:00:00,0.06567040592870134,0.0371235065093032,0.04407585486501282,0.12340926581086288,0.1808534258021455,0.232,False,False,2000,1.8274307447252407,3.5935920481941475,6.753156920834108
11,2022-12-08 18:00:00,0.070545071261107,0.03666120209022074,0.045170672193899704,0.12777093716503612,0.17444380580760288,0.213,False,False,2000,1.8353271471124393,3.8437327847570453,6.961752697117839
12,2022-12-09 00:00:00,0.07073327236754798,0.04016355333696597,0.04741275148386311,0.13761618474818593,0.1819542878762389,0.2285,False,False,2000,1.7915404126423262,3.948181791959922,7.681444625924855
13,2022-12-09 06:00:00,0.06551717913314171,0.0412718765834841,0.04694655411790478,0.13537620496069777,0.18513435321371555,0.271,False,False,2000,1.8190543963858212,3.6017163237841694,7.442119665561914
14,2022-12-09 12:00:00,0.07003811228734921,0.041301066794577394,0.047089177145935045,0.12949629879376018,0.18877104130030842,0.254,False,False,2000,1.8078303565722065,3.8741529055938173,7.163078013541918
